Activity,smoothing_type,rep_id,Metric,Score
Stationary,Mode,2,Recall,0.945454545454546
Stationary,Mode,2,F1,0.634146341463415
Stationary,Mode,2,Accuracy,0.795488466757124
TreeMovement,Mode,2,Precision,0.563157894736842
TreeMovement,Mode,2,Recall,0.406844106463878
TreeMovement,Mode,2,F1,0.472406181015453
TreeMovement,Mode,2,Accuracy,0.652564210094684
Macro-Average,Mode,2,Precision,0.683982372225947
Macro-Average,Mode,2,Recall,0.671734516839608
Macro-Average,Mode,2,F1,0.637063829355996
Macro-Average,Mode,2,Accuracy,0.769773749354077
Foraging,Mode,3,Precision,0.463768115942029
Foraging,Mode,3,Recall,0.96
Foraging,Mode,3,F1,0.625407166123779
Foraging,Mode,3,Accuracy,0.847541766109785
Locomotion,Mode,3,Precision,1
Locomotion,Mode,3,Recall,0.68
Locomotion,Mode,3,F1,0.80952380952381
Locomotion,Mode,3,Accuracy,0.84
Stationary,Mode,3,Precision,0.944444444444444
Stationary,Mode,3,Recall,0.435897435897436
Stationary,Mode,3,F1,0.596491228070176
Stationary,Mode,3,Accuracy,0.71243907607544
TreeMovement,Mode,3,Precision,0.895348837209302
TreeMovement,Mode,3,Recall,0.94478527607362
TreeMovement,Mode,3,F1,0.919402985074627
TreeMovement,Mode,3,Accuracy,0.947111739160405
Macro-Average,Mode,3,Precision,0.825890349398944
Macro-Average,Mode,3,Recall,0.755170677992764
Macro-Average,Mode,3,F1,0.737706297198098
Macro-Average,Mode,3,Accuracy,0.836773145336408
Foraging,No,1,Precision,0.792079207920792
Foraging,No,1,Recall,0.8
Foraging,No,1,F1,0.796019900497513
Foraging,No,1,Accuracy,0.881046931407942
Locomotion,No,1,Precision,0.950819672131147
Locomotion,No,1,Recall,0.58
Locomotion,No,1,F1,0.720496894409938
Locomotion,No,1,Accuracy,0.787292418772563
Stationary,No,1,Precision,1
Stationary,No,1,Recall,0.515503875968992
Stationary,No,1,F1,0.680306905370844
Stationary,No,1,Accuracy,0.757751937984496
TreeMovement,No,1,Precision,0.512534818941504
TreeMovement,No,1,Recall,0.938775510204082
TreeMovement,No,1,F1,0.663063063063063
TreeMovement,No,1,Accuracy,0.778339720167543
