ID,Time,X,Y,Z,Activity
Angelina,2023-05-16T13:01:18.479997Z,0.243408,-0.890137,0.479492,Stationary
Angelina,2023-05-16T13:01:18.479997Z,0.259399,-0.881836,0.490479,Stationary
Angelina,2023-05-16T13:01:18.479997Z,0.267822,-0.880005,0.483032,Stationary
Angelina,2023-05-16T13:01:18.479997Z,0.299805,-0.881348,0.487671,Stationary
Angelina,2023-05-16T13:01:18.566398Z,0.26709,-0.877319,0.466675,Stationary
Angelina,2023-05-16T13:01:18.566398Z,0.273071,-0.871704,0.46106,Stationary
Angelina,2023-05-16T13:01:18.566398Z,0.279175,-0.887939,0.465454,Stationary
Angelina,2023-05-16T13:01:18.566398Z,0.303955,-0.885254,0.477173,Stationary
Angelina,2023-05-16T13:01:18.652799Z,0.229492,-0.865356,0.493408,Stationary
Angelina,2023-05-16T13:01:18.652799Z,0.236816,-0.8927,0.47998,Stationary
Angelina,2023-05-16T13:01:18.652799Z,0.264282,-0.897949,0.474365,Stationary
Angelina,2023-05-16T13:01:18.652799Z,0.268799,-0.886841,0.463013,Stationary
Angelina,2023-05-16T13:01:18.739199Z,0.229858,-0.871216,0.500977,Stationary
Angelina,2023-05-16T13:01:18.739199Z,0.252686,-0.884644,0.508545,Stationary
Angelina,2023-05-16T13:01:18.739199Z,0.26123,-0.881104,0.513062,Stationary
Angelina,2023-05-16T13:01:18.739199Z,0.262817,-0.86731,0.512451,Stationary
Angelina,2023-05-16T13:01:18.739199Z,0.266113,-0.860474,0.502441,Stationary
Angelina,2023-05-16T13:01:18.825600Z,0.230835,-0.871094,0.521606,Stationary
Angelina,2023-05-16T13:01:18.825600Z,0.246216,-0.879883,0.51416,Stationary
Angelina,2023-05-16T13:01:18.825600Z,0.254639,-0.815796,0.509644,Stationary
Angelina,2023-05-16T13:01:18.825600Z,0.288086,-0.807373,0.47168,Stationary
Angelina,2023-05-16T13:01:18.912001Z,0.224854,-0.925537,0.480835,Stationary
Angelina,2023-05-16T13:01:18.912001Z,0.252197,-0.891724,0.473999,Stationary
Angelina,2023-05-16T13:01:18.912001Z,0.281982,-0.855713,0.445313,Stationary
Angelina,2023-05-16T13:01:28.416003Z,0.225464,-1.015991,0.273071,Stationary
Angelina,2023-05-16T13:01:28.502403Z,0.277832,-0.956787,0.251343,Stationary
Angelina,2023-05-16T13:01:28.502403Z,0.287354,-1.005371,0.2854,Stationary
Angelina,2023-05-16T13:01:28.502403Z,0.310059,-1.108765,0.20752,Stationary
Angelina,2023-05-16T13:01:28.502403Z,0.339111,-0.87561,0.362793,Stationary
Angelina,2023-05-16T13:01:28.502403Z,0.366089,-0.861938,0.295532,Stationary
Angelina,2023-05-16T13:01:28.588804Z,0.235596,-1.051636,0.208252,Stationary
Angelina,2023-05-16T13:01:28.588804Z,0.315308,-1.105103,0.165283,Stationary
Angelina,2023-05-16T13:01:28.588804Z,0.319092,-1.174561,0.159546,Stationary
Angelina,2023-05-16T13:01:28.588804Z,0.350708,-1.174316,0.152222,Stationary
Angelina,2023-05-16T13:01:28.675205Z,0.106445,-0.884521,0.254028,Stationary
Angelina,2023-05-16T13:01:28.675205Z,0.127197,-0.872681,0.270386,Stationary
Angelina,2023-05-16T13:01:28.675205Z,0.138306,-0.960815,0.236084,Stationary
Angelina,2023-05-16T13:01:28.675205Z,0.172241,-0.858887,0.276855,Stationary
Angelina,2023-05-16T13:01:28.761595Z,0.226929,-0.88855,0.283081,Stationary
Angelina,2023-05-16T13:01:28.761595Z,0.268188,-0.930664,0.284302,Stationary
Angelina,2023-05-16T13:01:28.761595Z,0.289307,-1.006836,0.272705,Stationary
Angelina,2023-05-16T13:01:28.761595Z,0.289917,-0.959473,0.283569,Stationary
Angelina,2023-05-16T13:01:28.761595Z,0.300537,-0.993042,0.276245,Stationary
Angelina,2023-05-16T13:01:28.847996Z,0.207397,-0.951294,0.233765,Stationary
Angelina,2023-05-16T13:01:28.847996Z,0.207642,-0.973511,0.262817,Stationary
Angelina,2023-05-16T13:01:28.847996Z,0.219238,-1.000366,0.274292,Stationary
Angelina,2023-05-16T13:01:28.847996Z,0.256592,-1.020386,0.281616,Stationary
Angelina,2023-05-16T13:01:28.934397Z,0.238159,-0.948486,0.199219,Stationary
Angelina,2023-05-16T13:01:28.934397Z,0.240479,-0.987305,0.179077,Stationary
Angelina,2023-05-16T13:01:28.934397Z,0.254272,-0.947632,0.185791,Stationary
Angelina,2023-05-16T13:01:28.934397Z,0.254639,-0.975342,0.180908,Stationary
Angelina,2023-05-16T13:01:29.020797Z,0.183105,-0.992188,0.20752,Stationary
Angelina,2023-05-16T13:01:29.020797Z,0.192017,-0.97522,0.20752,Stationary
Angelina,2023-05-16T13:01:29.020797Z,0.198975,-0.999512,0.207031,Stationary
Angelina,2023-05-16T13:01:29.020797Z,0.217285,-0.977051,0.209351,Stationary
Angelina,2023-05-16T13:01:29.020797Z,0.218262,-0.991821,0.190796,Stationary
Angelina,2023-05-16T13:01:29.107198Z,0.245117,-0.988525,0.229248,Stationary
Angelina,2023-05-16T13:01:29.107198Z,0.260742,-0.987793,0.218628,Stationary
Angelina,2023-05-16T13:01:29.107198Z,0.268311,-0.985962,0.230225,Stationary
Angelina,2023-05-16T13:01:29.107198Z,0.282837,-0.991455,0.228638,Stationary
Angelina,2023-05-16T13:01:29.193599Z,0.142578,-0.990356,0.208862,Stationary
Angelina,2023-05-16T13:01:29.193599Z,0.158325,-0.980591,0.215088,Stationary
Angelina,2023-05-16T13:01:29.193599Z,0.181763,-0.974609,0.219238,Stationary
Angelina,2023-05-16T13:01:29.193599Z,0.213501,-0.980469,0.223145,Stationary
Angelina,2023-05-16T13:01:29.279999Z,0.152832,-0.981934,0.178467,Stationary
Angelina,2023-05-16T13:01:29.279999Z,0.175415,-1.028931,0.195801,Stationary
Angelina,2023-05-16T13:01:29.279999Z,0.175781,-0.97937,0.15686,Stationary
Angelina,2023-05-16T13:01:29.279999Z,0.18457,-1.007813,0.167847,Stationary
Angelina,2023-05-16T13:01:29.279999Z,0.188599,-1.031006,0.18335,Stationary
Angelina,2023-05-16T13:01:29.366400Z,0.114136,-1.006714,0.228394,Stationary
Angelina,2023-05-16T13:01:29.366400Z,0.12793,-1.005249,0.226318,Stationary
Angelina,2023-05-16T13:01:29.366400Z,0.155151,-1.020142,0.213379,Stationary
Angelina,2023-05-16T13:01:29.366400Z,0.165283,-1.019409,0.205688,Stationary
Angelina,2023-05-16T13:01:29.452801Z,0.155151,-0.987061,0.224854,Stationary
Angelina,2023-05-16T13:01:29.452801Z,0.182983,-0.988403,0.234375,Stationary
Angelina,2023-05-16T13:01:29.452801Z,0.188354,-0.968506,0.228882,Stationary
Angelina,2023-05-16T13:01:29.452801Z,0.188599,-0.961792,0.226807,Stationary
Angelina,2023-05-16T13:01:29.539201Z,0.152466,-0.997192,0.275269,Stationary
Angelina,2023-05-16T13:01:29.539201Z,0.161255,-1.008423,0.252808,Stationary
Angelina,2023-05-16T13:01:29.539201Z,0.172363,-1.002441,0.229004,Stationary
Angelina,2023-05-16T13:01:29.539201Z,0.175659,-1.008057,0.22998,Stationary
Angelina,2023-05-16T13:01:29.539201Z,0.178101,-0.99585,0.241455,Stationary
